	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00001621	3	1	4	1.0	multi-copy
GF00001622	3	1	4	1.0	multi-copy
GF00001623	3	1	4	1.0	multi-copy
GF00001624	2	2	4	1.0	multi-copy
GF00001625	3	1	4	1.0	multi-copy
GF00001626	3	1	4	1.0	multi-copy
GF00001627	3	1	4	1.0	multi-copy
GF00001628	2	2	4	1.0	multi-copy
GF00001629	3	1	4	1.0	multi-copy
GF00001630	3	1	4	1.0	multi-copy
GF00001631	3	1	4	1.0	multi-copy
GF00001632	3	1	4	1.0	multi-copy
GF00001633	3	1	4	1.0	multi-copy
GF00001634	3	1	4	1.0	multi-copy
GF00001635	3	1	4	1.0	multi-copy
GF00001636	3	1	4	1.0	multi-copy
GF00001637	3	1	4	1.0	multi-copy
GF00001638	2	2	4	1.0	multi-copy
GF00001639	3	1	4	1.0	multi-copy
GF00001640	2	2	4	1.0	multi-copy
GF00001641	3	1	4	1.0	multi-copy
GF00001642	2	2	4	1.0	multi-copy
GF00001643	2	2	4	1.0	multi-copy
GF00001644	2	2	4	1.0	multi-copy
GF00001645	3	1	4	1.0	multi-copy
GF00001646	3	1	4	1.0	multi-copy
GF00001647	3	1	4	1.0	multi-copy
GF00001648	3	1	4	1.0	multi-copy
GF00001649	3	1	4	1.0	multi-copy
GF00001650	3	1	4	1.0	multi-copy
GF00001651	3	1	4	1.0	multi-copy
GF00001652	3	1	4	1.0	multi-copy
GF00001653	3	1	4	1.0	multi-copy
GF00001654	3	1	4	1.0	multi-copy
GF00001655	3	1	4	1.0	multi-copy
GF00001656	3	1	4	1.0	multi-copy
GF00001657	3	1	4	1.0	multi-copy
GF00001658	3	1	4	1.0	multi-copy
GF00001659	3	1	4	1.0	multi-copy
GF00001660	3	1	4	1.0	multi-copy
GF00001661	3	1	4	1.0	multi-copy
GF00001662	3	1	4	1.0	multi-copy
GF00001663	3	1	4	1.0	multi-copy
GF00001664	3	1	4	1.0	multi-copy
GF00001665	2	2	4	1.0	multi-copy
GF00001666	3	1	4	1.0	multi-copy
GF00001667	3	1	4	1.0	multi-copy
GF00001668	3	1	4	1.0	multi-copy
GF00001669	3	1	4	1.0	multi-copy
GF00001670	3	1	4	1.0	multi-copy
GF00001671	3	1	4	1.0	multi-copy
GF00001672	3	1	4	1.0	multi-copy
GF00001673	2	2	4	1.0	multi-copy
GF00001674	3	1	4	1.0	multi-copy
GF00001675	3	1	4	1.0	multi-copy
GF00001676	3	1	4	1.0	multi-copy
GF00001677	3	1	4	1.0	multi-copy
GF00001678	3	1	4	1.0	multi-copy
GF00001679	3	1	4	1.0	multi-copy
GF00001680	3	1	4	1.0	multi-copy
GF00001681	3	1	4	1.0	multi-copy
GF00001682	3	1	4	1.0	multi-copy
GF00001683	3	1	4	1.0	multi-copy
GF00001684	3	1	4	1.0	multi-copy
GF00001685	3	1	4	1.0	multi-copy
GF00001686	3	1	4	1.0	multi-copy
GF00001687	3	1	4	1.0	multi-copy
GF00001688	3	1	4	1.0	multi-copy
GF00001689	3	1	4	1.0	multi-copy
GF00001690	3	1	4	1.0	multi-copy
GF00001691	3	1	4	1.0	multi-copy
GF00001692	3	1	4	1.0	multi-copy
GF00001693	2	2	4	1.0	multi-copy
GF00001694	3	1	4	1.0	multi-copy
GF00001695	2	2	4	1.0	multi-copy
GF00001696	3	1	4	1.0	multi-copy
GF00001697	3	1	4	1.0	multi-copy
GF00001698	3	1	4	1.0	multi-copy
GF00001699	3	1	4	1.0	multi-copy
GF00001700	3	1	4	1.0	multi-copy
GF00001701	3	1	4	1.0	multi-copy
GF00001702	3	1	4	1.0	multi-copy
GF00001703	3	1	4	1.0	multi-copy
GF00001704	3	1	4	1.0	multi-copy
GF00001705	3	1	4	1.0	multi-copy
GF00001706	3	1	4	1.0	multi-copy
GF00001707	3	1	4	1.0	multi-copy
GF00001708	3	1	4	1.0	multi-copy
GF00001709	3	1	4	1.0	multi-copy
GF00001710	3	1	4	1.0	multi-copy
GF00001711	3	1	4	1.0	multi-copy
GF00001712	3	1	4	1.0	multi-copy
GF00001713	3	1	4	1.0	multi-copy
GF00001714	3	1	4	1.0	multi-copy
GF00001715	3	1	4	1.0	multi-copy
GF00001716	3	1	4	1.0	multi-copy
GF00001717	3	1	4	1.0	multi-copy
GF00001718	3	1	4	1.0	multi-copy
GF00001719	3	1	4	1.0	multi-copy
GF00001720	3	1	4	1.0	multi-copy
GF00001721	3	1	4	1.0	multi-copy
GF00001722	3	1	4	1.0	multi-copy
GF00001723	2	2	4	1.0	multi-copy
GF00001724	3	1	4	1.0	multi-copy
GF00001725	3	1	4	1.0	multi-copy
GF00001726	3	1	4	1.0	multi-copy
GF00001727	3	1	4	1.0	multi-copy
GF00001728	3	1	4	1.0	multi-copy
GF00001729	3	1	4	1.0	multi-copy
GF00001730	3	1	4	1.0	multi-copy
GF00001731	3	1	4	1.0	multi-copy
GF00001732	3	1	4	1.0	multi-copy
GF00001733	3	1	4	1.0	multi-copy
GF00001734	3	1	4	1.0	multi-copy
GF00001735	3	1	4	1.0	multi-copy
GF00001736	3	1	4	1.0	multi-copy
GF00001737	3	1	4	1.0	multi-copy
GF00001738	3	1	4	1.0	multi-copy
GF00001739	2	2	4	1.0	multi-copy
GF00001740	3	1	4	1.0	multi-copy
GF00001741	3	1	4	1.0	multi-copy
GF00001742	3	1	4	1.0	multi-copy
GF00001743	3	1	4	1.0	multi-copy
GF00001744	3	1	4	1.0	multi-copy
GF00001745	3	1	4	1.0	multi-copy
GF00001746	3	1	4	1.0	multi-copy
GF00001747	3	1	4	1.0	multi-copy
GF00001748	3	1	4	1.0	multi-copy
GF00001749	3	1	4	1.0	multi-copy
GF00001750	3	1	4	1.0	multi-copy
GF00001751	3	1	4	1.0	multi-copy
GF00001752	3	1	4	1.0	multi-copy
GF00001753	3	1	4	1.0	multi-copy
GF00001754	2	2	4	1.0	multi-copy
GF00001755	3	1	4	1.0	multi-copy
GF00001756	3	1	4	1.0	multi-copy
GF00001757	3	1	4	1.0	multi-copy
GF00001758	3	1	4	1.0	multi-copy
GF00001759	3	1	4	1.0	multi-copy
GF00001760	3	1	4	1.0	multi-copy
GF00001761	3	1	4	1.0	multi-copy
GF00001762	3	1	4	1.0	multi-copy
GF00001763	3	1	4	1.0	multi-copy
GF00001764	3	1	4	1.0	multi-copy
GF00001765	3	1	4	1.0	multi-copy
GF00001766	3	1	4	1.0	multi-copy
GF00001767	2	2	4	1.0	multi-copy
GF00001768	3	1	4	1.0	multi-copy
GF00001769	2	2	4	1.0	multi-copy
GF00001770	2	2	4	1.0	multi-copy
GF00001771	3	1	4	1.0	multi-copy
GF00001772	3	1	4	1.0	multi-copy
GF00001773	3	1	4	1.0	multi-copy
GF00001774	3	1	4	1.0	multi-copy
GF00001775	3	1	4	1.0	multi-copy
GF00001776	3	1	4	1.0	multi-copy
GF00001777	3	1	4	1.0	multi-copy
GF00001778	2	2	4	1.0	multi-copy
GF00001779	3	1	4	1.0	multi-copy
GF00001780	3	1	4	1.0	multi-copy
GF00001781	3	1	4	1.0	multi-copy
GF00001782	3	1	4	1.0	multi-copy
GF00001783	3	1	4	1.0	multi-copy
GF00001784	2	2	4	1.0	multi-copy
GF00001785	3	1	4	1.0	multi-copy
GF00001786	3	1	4	1.0	multi-copy
GF00001787	3	1	4	1.0	multi-copy
GF00001788	3	1	4	1.0	multi-copy
GF00001789	3	1	4	1.0	multi-copy
GF00001790	3	1	4	1.0	multi-copy
GF00001791	3	1	4	1.0	multi-copy
GF00001792	3	1	4	1.0	multi-copy
GF00001793	3	1	4	1.0	multi-copy
GF00001794	2	2	4	1.0	multi-copy
GF00001795	3	1	4	1.0	multi-copy
GF00001796	3	1	4	1.0	multi-copy
GF00001797	3	1	4	1.0	multi-copy
GF00001798	3	1	4	1.0	multi-copy
GF00001799	3	1	4	1.0	multi-copy
GF00001800	3	1	4	1.0	multi-copy
GF00001801	3	1	4	1.0	multi-copy
GF00001802	3	1	4	1.0	multi-copy
GF00001803	3	1	4	1.0	multi-copy
GF00001804	3	1	4	1.0	multi-copy
GF00001805	3	1	4	1.0	multi-copy
GF00001806	3	1	4	1.0	multi-copy
GF00001807	3	1	4	1.0	multi-copy
GF00001808	3	1	4	1.0	multi-copy
GF00001809	3	1	4	1.0	multi-copy
GF00001810	3	1	4	1.0	multi-copy
GF00001811	3	1	4	1.0	multi-copy
GF00001812	3	1	4	1.0	multi-copy
GF00001813	3	1	4	1.0	multi-copy
GF00001814	3	1	4	1.0	multi-copy
GF00001815	3	1	4	1.0	multi-copy
GF00001816	3	1	4	1.0	multi-copy
GF00001817	3	1	4	1.0	multi-copy
GF00001818	3	1	4	1.0	multi-copy
GF00001819	3	1	4	1.0	multi-copy
GF00001820	3	1	4	1.0	multi-copy
GF00001821	3	1	4	1.0	multi-copy
GF00001822	3	1	4	1.0	multi-copy
GF00001823	3	1	4	1.0	multi-copy
GF00001824	3	1	4	1.0	multi-copy
GF00001825	3	1	4	1.0	multi-copy
GF00001826	3	1	4	1.0	multi-copy
GF00001827	3	1	4	1.0	multi-copy
GF00001828	3	1	4	1.0	multi-copy
GF00001829	3	1	4	1.0	multi-copy
GF00001830	3	1	4	1.0	multi-copy
GF00001831	3	1	4	1.0	multi-copy
GF00001832	3	1	4	1.0	multi-copy
GF00001833	3	1	4	1.0	multi-copy
GF00001834	3	1	4	1.0	multi-copy
GF00001835	3	1	4	1.0	multi-copy
GF00001836	3	1	4	1.0	multi-copy
GF00001837	3	1	4	1.0	multi-copy
GF00001838	3	1	4	1.0	multi-copy
GF00001839	3	1	4	1.0	multi-copy
GF00001840	3	1	4	1.0	multi-copy
GF00001841	3	1	4	1.0	multi-copy
GF00001842	3	1	4	1.0	multi-copy
GF00001843	3	1	4	1.0	multi-copy
GF00001844	3	1	4	1.0	multi-copy
GF00001845	3	1	4	1.0	multi-copy
GF00001846	3	1	4	1.0	multi-copy
GF00001847	3	1	4	1.0	multi-copy
GF00001848	3	1	4	1.0	multi-copy
GF00001849	3	1	4	1.0	multi-copy
GF00001850	3	1	4	1.0	multi-copy
GF00001851	3	1	4	1.0	multi-copy
GF00001852	3	1	4	1.0	multi-copy
GF00001853	3	1	4	1.0	multi-copy
GF00001854	3	1	4	1.0	multi-copy
GF00001855	3	1	4	1.0	multi-copy
GF00001856	3	1	4	1.0	multi-copy
GF00001857	3	1	4	1.0	multi-copy
GF00001858	3	1	4	1.0	multi-copy
GF00001859	3	1	4	1.0	multi-copy
GF00001860	3	1	4	1.0	multi-copy
GF00001861	3	1	4	1.0	multi-copy
GF00001862	3	1	4	1.0	multi-copy
GF00001863	3	1	4	1.0	multi-copy
GF00001864	2	2	4	1.0	multi-copy
GF00001865	3	1	4	1.0	multi-copy
GF00001866	3	1	4	1.0	multi-copy
GF00001867	2	2	4	1.0	multi-copy
GF00001868	3	1	4	1.0	multi-copy
GF00001869	3	1	4	1.0	multi-copy
GF00001870	3	1	4	1.0	multi-copy
GF00001871	3	1	4	1.0	multi-copy
GF00001872	3	1	4	1.0	multi-copy
GF00001873	3	1	4	1.0	multi-copy
GF00001874	3	1	4	1.0	multi-copy
GF00001875	3	1	4	1.0	multi-copy
GF00001876	3	1	4	1.0	multi-copy
GF00001877	3	1	4	1.0	multi-copy
GF00001878	3	1	4	1.0	multi-copy
GF00001879	3	1	4	1.0	multi-copy
GF00001880	3	1	4	1.0	multi-copy
GF00001881	3	1	4	1.0	multi-copy
GF00001882	3	1	4	1.0	multi-copy
GF00001883	3	1	4	1.0	multi-copy
GF00001884	3	1	4	1.0	multi-copy
GF00001885	3	1	4	1.0	multi-copy
GF00001886	2	2	4	1.0	multi-copy
GF00001887	3	1	4	1.0	multi-copy
GF00001888	3	1	4	1.0	multi-copy
GF00001889	3	1	4	1.0	multi-copy
GF00001890	3	1	4	1.0	multi-copy
GF00001891	3	1	4	1.0	multi-copy
GF00001892	3	1	4	1.0	multi-copy
GF00001893	3	1	4	1.0	multi-copy
GF00001894	3	1	4	1.0	multi-copy
GF00001895	3	1	4	1.0	multi-copy
GF00001896	3	1	4	1.0	multi-copy
GF00001897	3	1	4	1.0	multi-copy
GF00001898	3	1	4	1.0	multi-copy
GF00001899	3	1	4	1.0	multi-copy
GF00001900	3	1	4	1.0	multi-copy
GF00001901	3	1	4	1.0	multi-copy
GF00001902	3	1	4	1.0	multi-copy
GF00001903	3	1	4	1.0	multi-copy
GF00001904	3	1	4	1.0	multi-copy
GF00001905	3	1	4	1.0	multi-copy
GF00001906	3	1	4	1.0	multi-copy
GF00001907	3	1	4	1.0	multi-copy
GF00001908	3	1	4	1.0	multi-copy
GF00001909	3	1	4	1.0	multi-copy
GF00001910	3	1	4	1.0	multi-copy
GF00001911	3	1	4	1.0	multi-copy
GF00001912	3	1	4	1.0	multi-copy
GF00001913	3	1	4	1.0	multi-copy
GF00001914	3	1	4	1.0	multi-copy
GF00001915	3	1	4	1.0	multi-copy
GF00001916	3	1	4	1.0	multi-copy
GF00001917	3	1	4	1.0	multi-copy
GF00001918	3	1	4	1.0	multi-copy
GF00001919	3	1	4	1.0	multi-copy
GF00001920	3	1	4	1.0	multi-copy
GF00001921	3	1	4	1.0	multi-copy
GF00001922	3	1	4	1.0	multi-copy
GF00001923	3	1	4	1.0	multi-copy
GF00001924	3	1	4	1.0	multi-copy
GF00001925	3	1	4	1.0	multi-copy
GF00001926	3	1	4	1.0	multi-copy
GF00001927	3	1	4	1.0	multi-copy
GF00001928	3	1	4	1.0	multi-copy
GF00001929	3	1	4	1.0	multi-copy
GF00001930	3	1	4	1.0	multi-copy
GF00001931	3	1	4	1.0	multi-copy
GF00001932	3	1	4	1.0	multi-copy
GF00001933	3	1	4	1.0	multi-copy
GF00001934	3	1	4	1.0	multi-copy
GF00001935	3	1	4	1.0	multi-copy
GF00001936	3	1	4	1.0	multi-copy
GF00001937	3	1	4	1.0	multi-copy
GF00001938	3	1	4	1.0	multi-copy
GF00001939	3	1	4	1.0	multi-copy
GF00001940	3	1	4	1.0	multi-copy
GF00001941	3	1	4	1.0	multi-copy
GF00001942	3	1	4	1.0	multi-copy
GF00001943	3	1	4	1.0	multi-copy
GF00001944	3	1	4	1.0	multi-copy
GF00001945	2	2	4	1.0	multi-copy
GF00001946	3	1	4	1.0	multi-copy
GF00001947	3	1	4	1.0	multi-copy
GF00001948	3	1	4	1.0	multi-copy
GF00001949	2	2	4	1.0	multi-copy
GF00001950	2	2	4	1.0	multi-copy
GF00001951	3	1	4	1.0	multi-copy
GF00001952	2	2	4	1.0	multi-copy
GF00001953	3	1	4	1.0	multi-copy
GF00001954	2	2	4	1.0	multi-copy
GF00001955	2	1	3	1.0	multi-copy
GF00001956	2	1	3	1.0	multi-copy
GF00001957	2	1	3	1.0	multi-copy
GF00001958	2	1	3	1.0	multi-copy
GF00001959	2	1	3	1.0	multi-copy
GF00001960	2	1	3	1.0	multi-copy
GF00001961	2	1	3	1.0	multi-copy
GF00001962	2	1	3	1.0	multi-copy
GF00001963	2	1	3	1.0	multi-copy
GF00001964	2	1	3	1.0	multi-copy
GF00001965	2	1	3	1.0	multi-copy
GF00001966	2	1	3	1.0	multi-copy
GF00001967	2	1	3	1.0	multi-copy
GF00001968	2	1	3	1.0	multi-copy
GF00001969	2	1	3	1.0	multi-copy
GF00001970	2	1	3	1.0	multi-copy
GF00001971	2	1	3	1.0	multi-copy
GF00001972	2	1	3	1.0	multi-copy
GF00001973	2	1	3	1.0	multi-copy
GF00001974	2	1	3	1.0	multi-copy
GF00001975	2	1	3	1.0	multi-copy
GF00001976	2	1	3	1.0	multi-copy
GF00001977	2	1	3	1.0	multi-copy
GF00001978	2	1	3	1.0	multi-copy
GF00001979	2	1	3	1.0	multi-copy
GF00001980	2	1	3	1.0	multi-copy
GF00001981	2	1	3	1.0	multi-copy
GF00001982	2	1	3	1.0	multi-copy
GF00001983	2	1	3	1.0	multi-copy
GF00001984	2	1	3	1.0	multi-copy
GF00001985	2	1	3	1.0	multi-copy
GF00001986	2	1	3	1.0	multi-copy
GF00001987	2	1	3	1.0	multi-copy
GF00001988	2	1	3	1.0	multi-copy
GF00001989	2	1	3	1.0	multi-copy
GF00001990	2	1	3	1.0	multi-copy
GF00001991	2	1	3	1.0	multi-copy
GF00001992	2	1	3	1.0	multi-copy
GF00001993	2	1	3	1.0	multi-copy
GF00001994	2	1	3	1.0	multi-copy
GF00001995	2	1	3	1.0	multi-copy
GF00001996	2	1	3	1.0	multi-copy
GF00001997	2	1	3	1.0	multi-copy
GF00001998	2	1	3	1.0	multi-copy
GF00001999	2	1	3	1.0	multi-copy
GF00002000	2	1	3	1.0	multi-copy
GF00002001	2	1	3	1.0	multi-copy
GF00002002	2	1	3	1.0	multi-copy
GF00002003	2	1	3	1.0	multi-copy
GF00002004	2	1	3	1.0	multi-copy
GF00002005	2	1	3	1.0	multi-copy
GF00002006	2	1	3	1.0	multi-copy
GF00002007	2	1	3	1.0	multi-copy
GF00002008	2	1	3	1.0	multi-copy
GF00002009	2	1	3	1.0	multi-copy
GF00002010	2	1	3	1.0	multi-copy
GF00002011	2	1	3	1.0	multi-copy
GF00002012	2	1	3	1.0	multi-copy
GF00002013	2	1	3	1.0	multi-copy
GF00002014	2	1	3	1.0	multi-copy
GF00002015	2	1	3	1.0	multi-copy
GF00002016	2	1	3	1.0	multi-copy
GF00002017	2	1	3	1.0	multi-copy
GF00002018	2	1	3	1.0	multi-copy
GF00002019	2	1	3	1.0	multi-copy
GF00002020	2	1	3	1.0	multi-copy
GF00002021	2	1	3	1.0	multi-copy
GF00002022	2	1	3	1.0	multi-copy
GF00002023	2	1	3	1.0	multi-copy
GF00002024	2	1	3	1.0	multi-copy
GF00002025	2	1	3	1.0	multi-copy
GF00002026	2	1	3	1.0	multi-copy
GF00002027	2	1	3	1.0	multi-copy
GF00002028	2	1	3	1.0	multi-copy
GF00002029	2	1	3	1.0	multi-copy
GF00002030	2	1	3	1.0	multi-copy
GF00002031	2	1	3	1.0	multi-copy
GF00002032	2	1	3	1.0	multi-copy
GF00002033	2	1	3	1.0	multi-copy
GF00002034	2	1	3	1.0	multi-copy
GF00002035	2	1	3	1.0	multi-copy
GF00002036	2	1	3	1.0	multi-copy
GF00002037	2	1	3	1.0	multi-copy
GF00002038	2	1	3	1.0	multi-copy
GF00002039	2	1	3	1.0	multi-copy
GF00002040	2	1	3	1.0	multi-copy
GF00002041	2	1	3	1.0	multi-copy
GF00002042	2	1	3	1.0	multi-copy
GF00002043	2	1	3	1.0	multi-copy
GF00002044	2	1	3	1.0	multi-copy
GF00002045	2	1	3	1.0	multi-copy
GF00002046	2	1	3	1.0	multi-copy
GF00002047	2	1	3	1.0	multi-copy
GF00002048	2	1	3	1.0	multi-copy
GF00002049	2	1	3	1.0	multi-copy
GF00002050	2	1	3	1.0	multi-copy
GF00002051	2	1	3	1.0	multi-copy
GF00002052	2	1	3	1.0	multi-copy
GF00002053	2	1	3	1.0	multi-copy
GF00002054	2	1	3	1.0	multi-copy
GF00002055	2	1	3	1.0	multi-copy
GF00002056	2	1	3	1.0	multi-copy
GF00002057	2	1	3	1.0	multi-copy
GF00002058	2	1	3	1.0	multi-copy
GF00002059	2	1	3	1.0	multi-copy
GF00002060	2	1	3	1.0	multi-copy
GF00002061	2	1	3	1.0	multi-copy
GF00002062	2	1	3	1.0	multi-copy
GF00002063	2	1	3	1.0	multi-copy
GF00002064	2	1	3	1.0	multi-copy
GF00002065	2	1	3	1.0	multi-copy
GF00002066	2	1	3	1.0	multi-copy
GF00002067	2	1	3	1.0	multi-copy
GF00002068	2	1	3	1.0	multi-copy
GF00002069	2	1	3	1.0	multi-copy
GF00002070	2	1	3	1.0	multi-copy
GF00002071	2	1	3	1.0	multi-copy
GF00002072	2	1	3	1.0	multi-copy
GF00002073	2	1	3	1.0	multi-copy
GF00002074	2	1	3	1.0	multi-copy
GF00002075	2	1	3	1.0	multi-copy
GF00002076	2	1	3	1.0	multi-copy
GF00002077	2	1	3	1.0	multi-copy
GF00002078	2	1	3	1.0	multi-copy
GF00002079	2	1	3	1.0	multi-copy
GF00002080	2	1	3	1.0	multi-copy
GF00002081	2	1	3	1.0	multi-copy
GF00002082	2	1	3	1.0	multi-copy
GF00002083	2	1	3	1.0	multi-copy
GF00002084	2	1	3	1.0	multi-copy
GF00002085	2	1	3	1.0	multi-copy
GF00002086	2	1	3	1.0	multi-copy
GF00002087	2	1	3	1.0	multi-copy
GF00002088	2	1	3	1.0	multi-copy
GF00002089	2	1	3	1.0	multi-copy
GF00002090	2	1	3	1.0	multi-copy
GF00002091	2	1	3	1.0	multi-copy
GF00002092	2	1	3	1.0	multi-copy
GF00002093	2	1	3	1.0	multi-copy
GF00002094	2	1	3	1.0	multi-copy
GF00002095	2	1	3	1.0	multi-copy
GF00002096	2	1	3	1.0	multi-copy
GF00002097	2	1	3	1.0	multi-copy
GF00002098	2	1	3	1.0	multi-copy
GF00002099	2	1	3	1.0	multi-copy
GF00002100	2	1	3	1.0	multi-copy
GF00002101	2	1	3	1.0	multi-copy
GF00002102	2	1	3	1.0	multi-copy
GF00002103	2	1	3	1.0	multi-copy
GF00002104	2	1	3	1.0	multi-copy
GF00002105	2	1	3	1.0	multi-copy
GF00002106	2	1	3	1.0	multi-copy
GF00002107	2	1	3	1.0	multi-copy
GF00002108	2	1	3	1.0	multi-copy
GF00002109	2	1	3	1.0	multi-copy
GF00002110	2	1	3	1.0	multi-copy
GF00002111	2	1	3	1.0	multi-copy
GF00002112	2	1	3	1.0	multi-copy
GF00002113	2	1	3	1.0	multi-copy
GF00002114	2	1	3	1.0	multi-copy
GF00002115	2	1	3	1.0	multi-copy
GF00002116	2	1	3	1.0	multi-copy
GF00002117	2	1	3	1.0	multi-copy
GF00002118	2	1	3	1.0	multi-copy
GF00002119	2	1	3	1.0	multi-copy
GF00002120	2	1	3	1.0	multi-copy
GF00002121	2	1	3	1.0	multi-copy
GF00002122	2	1	3	1.0	multi-copy
GF00002123	2	1	3	1.0	multi-copy
GF00002124	2	1	3	1.0	multi-copy
GF00002125	2	1	3	1.0	multi-copy
GF00002126	2	1	3	1.0	multi-copy
GF00002127	2	1	3	1.0	multi-copy
GF00002128	2	1	3	1.0	multi-copy
GF00002129	2	1	3	1.0	multi-copy
GF00002130	2	1	3	1.0	multi-copy
GF00002131	2	1	3	1.0	multi-copy
GF00002132	2	1	3	1.0	multi-copy
GF00002133	2	1	3	1.0	multi-copy
GF00002134	2	1	3	1.0	multi-copy
GF00002135	2	1	3	1.0	multi-copy
GF00002136	2	1	3	1.0	multi-copy
GF00002137	2	1	3	1.0	multi-copy
GF00002138	2	1	3	1.0	multi-copy
GF00002139	2	1	3	1.0	multi-copy
GF00002140	2	1	3	1.0	multi-copy
GF00002141	2	1	3	1.0	multi-copy
GF00002142	2	1	3	1.0	multi-copy
GF00002143	2	1	3	1.0	multi-copy
GF00002144	2	1	3	1.0	multi-copy
GF00002145	2	1	3	1.0	multi-copy
GF00002146	2	1	3	1.0	multi-copy
GF00002147	2	1	3	1.0	multi-copy
GF00002148	2	1	3	1.0	multi-copy
GF00002149	2	1	3	1.0	multi-copy
GF00002150	2	1	3	1.0	multi-copy
GF00002151	2	1	3	1.0	multi-copy
GF00002152	2	1	3	1.0	multi-copy
GF00002153	2	1	3	1.0	multi-copy
GF00002154	2	1	3	1.0	multi-copy
GF00002155	2	1	3	1.0	multi-copy
GF00002156	2	1	3	1.0	multi-copy
GF00002157	2	1	3	1.0	multi-copy
GF00002158	2	1	3	1.0	multi-copy
GF00002159	2	1	3	1.0	multi-copy
GF00002160	2	1	3	1.0	multi-copy
GF00002161	2	1	3	1.0	multi-copy
GF00002162	2	1	3	1.0	multi-copy
GF00002163	2	1	3	1.0	multi-copy
GF00002164	2	1	3	1.0	multi-copy
GF00002165	2	1	3	1.0	multi-copy
GF00002166	2	1	3	1.0	multi-copy
GF00002167	2	1	3	1.0	multi-copy
GF00002168	2	1	3	1.0	multi-copy
GF00002169	2	1	3	1.0	multi-copy
GF00002170	2	1	3	1.0	multi-copy
GF00002171	2	1	3	1.0	multi-copy
GF00002172	2	1	3	1.0	multi-copy
GF00002173	2	1	3	1.0	multi-copy
GF00002174	2	1	3	1.0	multi-copy
GF00002175	2	1	3	1.0	multi-copy
GF00002176	2	1	3	1.0	multi-copy
GF00002177	2	1	3	1.0	multi-copy
GF00002178	2	1	3	1.0	multi-copy
GF00002179	2	1	3	1.0	multi-copy
GF00002180	2	1	3	1.0	multi-copy
GF00002181	2	1	3	1.0	multi-copy
GF00002182	2	1	3	1.0	multi-copy
GF00002183	2	1	3	1.0	multi-copy
GF00002184	2	1	3	1.0	multi-copy
GF00002185	2	1	3	1.0	multi-copy
GF00002186	2	1	3	1.0	multi-copy
GF00002187	2	1	3	1.0	multi-copy
GF00002188	2	1	3	1.0	multi-copy
GF00002189	2	1	3	1.0	multi-copy
GF00002190	2	1	3	1.0	multi-copy
GF00002191	2	1	3	1.0	multi-copy
GF00002192	2	1	3	1.0	multi-copy
GF00002193	2	1	3	1.0	multi-copy
GF00002194	2	1	3	1.0	multi-copy
GF00002195	2	1	3	1.0	multi-copy
GF00002196	2	1	3	1.0	multi-copy
GF00002197	2	1	3	1.0	multi-copy
GF00002198	2	1	3	1.0	multi-copy
GF00002199	2	1	3	1.0	multi-copy
GF00002200	2	1	3	1.0	multi-copy
GF00002201	2	1	3	1.0	multi-copy
GF00002202	2	1	3	1.0	multi-copy
GF00002203	2	1	3	1.0	multi-copy
GF00002204	2	1	3	1.0	multi-copy
GF00002205	2	1	3	1.0	multi-copy
GF00002206	2	1	3	1.0	multi-copy
GF00002207	2	1	3	1.0	multi-copy
GF00002208	2	1	3	1.0	multi-copy
GF00002209	2	1	3	1.0	multi-copy
GF00002210	2	1	3	1.0	multi-copy
GF00002211	2	1	3	1.0	multi-copy
GF00002212	2	1	3	1.0	multi-copy
GF00002213	2	1	3	1.0	multi-copy
GF00002214	2	1	3	1.0	multi-copy
GF00002215	2	1	3	1.0	multi-copy
GF00002216	2	1	3	1.0	multi-copy
GF00002217	2	1	3	1.0	multi-copy
GF00002218	2	1	3	1.0	multi-copy
GF00002219	2	1	3	1.0	multi-copy
GF00002220	2	1	3	1.0	multi-copy
GF00002221	2	1	3	1.0	multi-copy
GF00002222	2	1	3	1.0	multi-copy
GF00002223	2	1	3	1.0	multi-copy
GF00002224	2	1	3	1.0	multi-copy
GF00002225	2	1	3	1.0	multi-copy
GF00002226	2	1	3	1.0	multi-copy
GF00002227	2	1	3	1.0	multi-copy
GF00002228	2	1	3	1.0	multi-copy
GF00002229	2	1	3	1.0	multi-copy
GF00002230	2	1	3	1.0	multi-copy
GF00002231	2	1	3	1.0	multi-copy
GF00002232	2	1	3	1.0	multi-copy
GF00002233	2	1	3	1.0	multi-copy
GF00002234	2	1	3	1.0	multi-copy
GF00002235	2	1	3	1.0	multi-copy
GF00002236	2	1	3	1.0	multi-copy
GF00002237	2	1	3	1.0	multi-copy
GF00002238	2	1	3	1.0	multi-copy
GF00002239	2	1	3	1.0	multi-copy
GF00002240	2	1	3	1.0	multi-copy
GF00002241	2	1	3	1.0	multi-copy
GF00002242	2	1	3	1.0	multi-copy
GF00002243	2	1	3	1.0	multi-copy
GF00002244	2	1	3	1.0	multi-copy
GF00002245	2	1	3	1.0	multi-copy
GF00002246	2	1	3	1.0	multi-copy
GF00002247	2	1	3	1.0	multi-copy
GF00002248	2	1	3	1.0	multi-copy
GF00002249	2	1	3	1.0	multi-copy
GF00002250	2	1	3	1.0	multi-copy
GF00002251	2	1	3	1.0	multi-copy
GF00002252	2	1	3	1.0	multi-copy
