	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00000021	TFCN17334Y5_005167-T1, TFCN17334Y5_008830-T1, TFCN17334Y5_011082-T1, TFCN17334Y5_009426-T1, TFCN17334Y5_005085-T1, TFCN17334Y5_010508-T1, TFCN17334Y5_010107-T1, TFCN17334Y5_005747-T1, TFCN17334Y5_004766-T1, TFCN17334Y5_005347-T1, TFCN17334Y5_007906-T1, TFCN17334Y5_013653-T1
GF00000022	TFCN17334Y5_011382-T1, TFCN17334Y5_000971-T1, TFCN17334Y5_009047-T1, TFCN17334Y5_000473-T1, TFCN17334Y5_006245-T1, TFCN17334Y5_009880-T1, TFCN17334Y5_009930-T1, TFCN17334Y5_012254-T1, TFCN17334Y5_009052-T1, TFCN17334Y5_002358-T1, TFCN17334Y5_013697-T1, TFCN17334Y5_000478-T1
GF00000023	TFCN17334Y5_000281-T1, TFCN17334Y5_007354-T1, TFCN17334Y5_008347-T1, TFCN17334Y5_002399-T1, TFCN17334Y5_007355-T1, TFCN17334Y5_000634-T1, TFCN17334Y5_007353-T1, TFCN17334Y5_008346-T1, TFCN17334Y5_013688-T1, TFCN17334Y5_002398-T1, TFCN17334Y5_002397-T1, TFCN17334Y5_013689-T1
GF00000024	TFCN17334Y5_004178-T1, TFCN17334Y5_002033-T1, TFCN17334Y5_000295-T1, TFCN17334Y5_012181-T1, TFCN17334Y5_000366-T1, TFCN17334Y5_008991-T1, TFCN17334Y5_008238-T1, TFCN17334Y5_012812-T1, TFCN17334Y5_000621-T1, TFCN17334Y5_002307-T1, TFCN17334Y5_002186-T1, TFCN17334Y5_000672-T1
GF00000025	TFCN17334Y5_008319-T1, TFCN17334Y5_000943-T1, TFCN17334Y5_008035-T1, TFCN17334Y5_010576-T1, TFCN17334Y5_003935-T1, TFCN17334Y5_003485-T1, TFCN17334Y5_001294-T1, TFCN17334Y5_008212-T1, TFCN17334Y5_014401-T1, TFCN17334Y5_004445-T1, TFCN17334Y5_005680-T1, TFCN17334Y5_014512-T1
GF00000026	TFCN17334Y5_013507-T1, TFCN17334Y5_005411-T1, TFCN17334Y5_006293-T1, TFCN17334Y5_005446-T1, TFCN17334Y5_005447-T1, TFCN17334Y5_013506-T1, TFCN17334Y5_014233-T1, TFCN17334Y5_012210-T1, TFCN17334Y5_013146-T1, TFCN17334Y5_005412-T1, TFCN17334Y5_006294-T1
GF00000027	TFCN17334Y5_003337-T1, TFCN17334Y5_003321-T1, TFCN17334Y5_003322-T1, TFCN17334Y5_002825-T1, TFCN17334Y5_003336-T1, TFCN17334Y5_002836-T1, TFCN17334Y5_002834-T1, TFCN17334Y5_003335-T1, TFCN17334Y5_002835-T1, TFCN17334Y5_002826-T1, TFCN17334Y5_001545-T1
GF00000028	TFCN17334Y5_005616-T1, TFCN17334Y5_003136-T1, TFCN17334Y5_009998-T1, TFCN17334Y5_013721-T1, TFCN17334Y5_012905-T1, TFCN17334Y5_013719-T1, TFCN17334Y5_012902-T1, TFCN17334Y5_010369-T1, TFCN17334Y5_012903-T1, TFCN17334Y5_013720-T1
GF00000029	TFCN17334Y5_010643-T1, TFCN17334Y5_009832-T1, TFCN17334Y5_010559-T1, TFCN17334Y5_006411-T1, TFCN17334Y5_013356-T1, TFCN17334Y5_013277-T1, TFCN17334Y5_014387-T1, TFCN17334Y5_013357-T1, TFCN17334Y5_009120-T1, TFCN17334Y5_009121-T1
GF00000030	TFCN17334Y5_005409-T1, TFCN17334Y5_004011-T1, TFCN17334Y5_006291-T1, TFCN17334Y5_000742-T1, TFCN17334Y5_007533-T1, TFCN17334Y5_002347-T1, TFCN17334Y5_011786-T1, TFCN17334Y5_007992-T1, TFCN17334Y5_006170-T1, TFCN17334Y5_001603-T1
GF00000031	TFCN17334Y5_009973-T1, TFCN17334Y5_011169-T1, TFCN17334Y5_012086-T1, TFCN17334Y5_008345-T1, TFCN17334Y5_003656-T1, TFCN17334Y5_002023-T1, TFCN17334Y5_002176-T1, TFCN17334Y5_013487-T1, TFCN17334Y5_011978-T1, TFCN17334Y5_008348-T1
