	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00002948	TFCN17334Y5_006675-T1, TFCN17334Y5_008789-T1
GF00002949	TFCN17334Y5_004071-T1, TFCN17334Y5_007941-T1
GF00002950	TFCN17334Y5_013846-T1, TFCN17334Y5_004222-T1
GF00002951	TFCN17334Y5_009773-T1, TFCN17334Y5_002984-T1
GF00002952	TFCN17334Y5_000712-T1, TFCN17334Y5_002268-T1
GF00002953	TFCN17334Y5_002589-T1, TFCN17334Y5_005929-T1
GF00002954	TFCN17334Y5_000702-T1, TFCN17334Y5_002278-T1
GF00002955	TFCN17334Y5_008972-T1, TFCN17334Y5_000386-T1
GF00002956	TFCN17334Y5_008395-T1, TFCN17334Y5_012874-T1
GF00002957	TFCN17334Y5_007612-T1, TFCN17334Y5_011309-T1
GF00002958	TFCN17334Y5_000098-T1, TFCN17334Y5_004457-T1
GF00002959	TFCN17334Y5_000643-T1, TFCN17334Y5_000272-T1
GF00002960	TFCN17334Y5_012870-T1, TFCN17334Y5_014254-T1
GF00002961	TFCN17334Y5_009302-T1, TFCN17334Y5_002741-T1
GF00002962	TFCN17334Y5_001939-T1, TFCN17334Y5_002090-T1
GF00002963	TFCN17334Y5_011209-T1, TFCN17334Y5_011342-T1
GF00002964	TFCN17334Y5_003180-T1, TFCN17334Y5_004915-T1
GF00002965	TFCN17334Y5_006197-T1, TFCN17334Y5_001627-T1
GF00002966	TFCN17334Y5_008000-T1, TFCN17334Y5_004019-T1
GF00002967	TFCN17334Y5_007632-T1, TFCN17334Y5_007828-T1
GF00002968	TFCN17334Y5_005418-T1, TFCN17334Y5_006300-T1
GF00002969	TFCN17334Y5_005579-T1, TFCN17334Y5_013182-T1
GF00002970	TFCN17334Y5_007705-T1, TFCN17334Y5_007307-T1
GF00002971	TFCN17334Y5_006083-T1, TFCN17334Y5_008911-T1
GF00002972	TFCN17334Y5_011833-T1, TFCN17334Y5_014272-T1
GF00002973	TFCN17334Y5_003703-T1, TFCN17334Y5_010352-T1
GF00002974	TFCN17334Y5_004170-T1, TFCN17334Y5_012170-T1
GF00002975	TFCN17334Y5_013650-T1, TFCN17334Y5_005082-T1
GF00002976	TFCN17334Y5_002767-T1, TFCN17334Y5_003265-T1
GF00002977	TFCN17334Y5_003437-T1, TFCN17334Y5_001347-T1
GF00002978	TFCN17334Y5_011434-T1, TFCN17334Y5_004426-T1
GF00002979	TFCN17334Y5_003833-T1, TFCN17334Y5_007009-T1
GF00002980	TFCN17334Y5_000628-T1, TFCN17334Y5_000287-T1
GF00002981	TFCN17334Y5_002443-T1, TFCN17334Y5_012469-T1
GF00002982	TFCN17334Y5_006530-T1, TFCN17334Y5_013063-T1
GF00002983	TFCN17334Y5_000084-T1, TFCN17334Y5_010876-T1
GF00002984	TFCN17334Y5_012293-T1, TFCN17334Y5_009645-T1
GF00002985	TFCN17334Y5_012341-T1, TFCN17334Y5_009072-T1
GF00002986	TFCN17334Y5_000336-T1, TFCN17334Y5_000581-T1
GF00002987	TFCN17334Y5_003048-T1, TFCN17334Y5_011587-T1
GF00002988	TFCN17334Y5_008888-T1, TFCN17334Y5_006103-T1
GF00002989	TFCN17334Y5_002994-T1, TFCN17334Y5_009783-T1
GF00002990	TFCN17334Y5_011761-T1, TFCN17334Y5_002323-T1
GF00002991	TFCN17334Y5_012650-T1, TFCN17334Y5_006597-T1
GF00002992	TFCN17334Y5_002999-T1, TFCN17334Y5_009788-T1
GF00002993	TFCN17334Y5_011196-T1, TFCN17334Y5_011356-T1
GF00002994	TFCN17334Y5_004070-T1, TFCN17334Y5_008037-T1
GF00002995	TFCN17334Y5_004404-T1, TFCN17334Y5_011454-T1
GF00002996	TFCN17334Y5_006948-T1, TFCN17334Y5_008676-T1
GF00002997	TFCN17334Y5_005560-T1, TFCN17334Y5_010957-T1
GF00002998	TFCN17334Y5_008015-T1, TFCN17334Y5_004034-T1
GF00002999	TFCN17334Y5_012018-T1, TFCN17334Y5_001540-T1
GF00003000	TFCN17334Y5_003445-T1, TFCN17334Y5_001339-T1
GF00003001	TFCN17334Y5_009651-T1, TFCN17334Y5_012299-T1
GF00003002	TFCN17334Y5_002757-T1, TFCN17334Y5_003256-T1
GF00003003	TFCN17334Y5_001397-T1, TFCN17334Y5_014220-T1
GF00003004	TFCN17334Y5_006635-T1, TFCN17334Y5_006629-T1
GF00003005	TFCN17334Y5_000826-T1, TFCN17334Y5_010746-T1
GF00003006	TFCN17334Y5_011951-T1, TFCN17334Y5_008155-T1
GF00003007	TFCN17334Y5_013971-T1, TFCN17334Y5_010439-T1
GF00003008	TFCN17334Y5_013259-T1, TFCN17334Y5_009463-T1
GF00003009	TFCN17334Y5_011567-T1, TFCN17334Y5_010926-T1
GF00003010	TFCN17334Y5_009228-T1, TFCN17334Y5_013765-T1
GF00003011	TFCN17334Y5_002995-T1, TFCN17334Y5_009784-T1
GF00003012	TFCN17334Y5_001403-T1, TFCN17334Y5_014214-T1
GF00003013	TFCN17334Y5_007424-T1, TFCN17334Y5_000217-T1
GF00003014	TFCN17334Y5_011359-T1, TFCN17334Y5_011193-T1
GF00003015	TFCN17334Y5_004127-T1, TFCN17334Y5_009590-T1
GF00003016	TFCN17334Y5_006990-T1, TFCN17334Y5_003854-T1
GF00003017	TFCN17334Y5_012605-T1, TFCN17334Y5_010424-T1
GF00003018	TFCN17334Y5_002478-T1, TFCN17334Y5_011037-T1
GF00003019	TFCN17334Y5_004738-T1, TFCN17334Y5_005720-T1
GF00003020	TFCN17334Y5_003902-T1, TFCN17334Y5_010606-T1
GF00003021	TFCN17334Y5_013571-T1, TFCN17334Y5_009108-T1
GF00003022	TFCN17334Y5_013745-T1, TFCN17334Y5_004271-T1
GF00003023	TFCN17334Y5_001430-T1, TFCN17334Y5_004854-T1
GF00003024	TFCN17334Y5_004940-T1, TFCN17334Y5_003153-T1
GF00003025	TFCN17334Y5_004736-T1, TFCN17334Y5_005718-T1
GF00003026	TFCN17334Y5_013814-T1, TFCN17334Y5_013521-T1
GF00003027	TFCN17334Y5_013556-T1, TFCN17334Y5_009095-T1
GF00003028	TFCN17334Y5_009372-T1, TFCN17334Y5_004562-T1
GF00003029	TFCN17334Y5_005340-T1, TFCN17334Y5_011100-T1
GF00003030	TFCN17334Y5_008022-T1, TFCN17334Y5_004041-T1
GF00003031	TFCN17334Y5_008427-T1, TFCN17334Y5_007066-T1
GF00003032	TFCN17334Y5_007398-T1, TFCN17334Y5_000188-T1
GF00003033	TFCN17334Y5_000160-T1, TFCN17334Y5_014459-T1
GF00003034	TFCN17334Y5_005642-T1, TFCN17334Y5_003127-T1
GF00003035	TFCN17334Y5_011959-T1, TFCN17334Y5_008161-T1
GF00003036	TFCN17334Y5_009975-T1, TFCN17334Y5_011170-T1
GF00003037	TFCN17334Y5_001799-T1, TFCN17334Y5_001126-T1
GF00003038	TFCN17334Y5_009582-T1, TFCN17334Y5_004118-T1
GF00003039	TFCN17334Y5_008717-T1, TFCN17334Y5_012129-T1
GF00003040	TFCN17334Y5_014139-T1, TFCN17334Y5_010976-T1
GF00003041	TFCN17334Y5_003246-T1, TFCN17334Y5_002746-T1
GF00003042	TFCN17334Y5_008892-T1, TFCN17334Y5_006099-T1
GF00003043	TFCN17334Y5_002614-T1, TFCN17334Y5_005903-T1
GF00003044	TFCN17334Y5_011312-T1, TFCN17334Y5_007609-T1
GF00003045	TFCN17334Y5_000717-T1, TFCN17334Y5_002264-T1
GF00003046	TFCN17334Y5_000947-T1, TFCN17334Y5_008323-T1
GF00003047	TFCN17334Y5_001588-T1, TFCN17334Y5_006185-T1
GF00003048	TFCN17334Y5_013827-T1, TFCN17334Y5_010635-T1
GF00003049	TFCN17334Y5_002286-T1, TFCN17334Y5_000694-T1
GF00003050	TFCN17334Y5_002315-T1, TFCN17334Y5_011752-T1
GF00003051	TFCN17334Y5_005378-T1, TFCN17334Y5_007874-T1
GF00003052	TFCN17334Y5_002918-T1, TFCN17334Y5_007831-T1
GF00003053	TFCN17334Y5_013128-T1, TFCN17334Y5_010711-T1
GF00003054	TFCN17334Y5_004377-T1, TFCN17334Y5_011888-T1
GF00003055	TFCN17334Y5_012669-T1, TFCN17334Y5_006614-T1
GF00003056	TFCN17334Y5_008252-T1, TFCN17334Y5_002527-T1
GF00003057	TFCN17334Y5_011992-T1, TFCN17334Y5_012073-T1
GF00003058	TFCN17334Y5_013925-T1, TFCN17334Y5_012531-T1
GF00003059	TFCN17334Y5_011687-T1, TFCN17334Y5_003978-T1
GF00003060	TFCN17334Y5_004003-T1, TFCN17334Y5_007984-T1
GF00003061	TFCN17334Y5_003748-T1, TFCN17334Y5_012124-T1
GF00003062	TFCN17334Y5_000488-T1, TFCN17334Y5_012503-T1
GF00003063	TFCN17334Y5_002027-T1, TFCN17334Y5_002180-T1
GF00003064	TFCN17334Y5_012071-T1, TFCN17334Y5_011994-T1
GF00003065	TFCN17334Y5_010119-T1, TFCN17334Y5_010496-T1
GF00003066	TFCN17334Y5_004108-T1, TFCN17334Y5_009572-T1
GF00003067	TFCN17334Y5_006186-T1, TFCN17334Y5_001616-T1
GF00003068	TFCN17334Y5_003591-T1, TFCN17334Y5_006352-T1
GF00003069	TFCN17334Y5_007476-T1, TFCN17334Y5_000804-T1
GF00003070	TFCN17334Y5_000744-T1, TFCN17334Y5_007531-T1
GF00003071	TFCN17334Y5_003255-T1, TFCN17334Y5_002756-T1
GF00003072	TFCN17334Y5_004565-T1, TFCN17334Y5_009369-T1
GF00003073	TFCN17334Y5_012067-T1, TFCN17334Y5_012913-T1
GF00003074	TFCN17334Y5_000130-T1, TFCN17334Y5_007210-T1
GF00003075	TFCN17334Y5_007351-T1, TFCN17334Y5_007739-T1
GF00003076	TFCN17334Y5_013084-T1, TFCN17334Y5_009903-T1
GF00003077	TFCN17334Y5_011417-T1, TFCN17334Y5_006705-T1
GF00003078	TFCN17334Y5_006455-T1, TFCN17334Y5_012793-T1
GF00003079	TFCN17334Y5_009868-T1, TFCN17334Y5_006257-T1
GF00003080	TFCN17334Y5_004935-T1, TFCN17334Y5_003159-T1
GF00003081	TFCN17334Y5_006515-T1, TFCN17334Y5_009719-T1
GF00003082	TFCN17334Y5_005858-T1, TFCN17334Y5_002656-T1
GF00003083	TFCN17334Y5_010489-T1, TFCN17334Y5_009174-T1
GF00003084	TFCN17334Y5_002311-T1, TFCN17334Y5_011749-T1
GF00003085	TFCN17334Y5_000142-T1, TFCN17334Y5_014435-T1
GF00003086	TFCN17334Y5_004373-T1, TFCN17334Y5_011893-T1
GF00003087	TFCN17334Y5_011982-T1, TFCN17334Y5_012082-T1
GF00003088	TFCN17334Y5_010422-T1, TFCN17334Y5_012607-T1
GF00003089	TFCN17334Y5_005501-T1, TFCN17334Y5_006821-T1
GF00003090	TFCN17334Y5_012537-T1, TFCN17334Y5_013920-T1
GF00003091	TFCN17334Y5_002725-T1, TFCN17334Y5_009319-T1
GF00003092	TFCN17334Y5_002873-T1, TFCN17334Y5_003370-T1
GF00003093	TFCN17334Y5_006983-T1, TFCN17334Y5_003863-T1
GF00003094	TFCN17334Y5_010980-T1, TFCN17334Y5_014135-T1
GF00003095	TFCN17334Y5_013142-T1, TFCN17334Y5_012206-T1
GF00003096	TFCN17334Y5_004027-T1, TFCN17334Y5_008008-T1
GF00003097	TFCN17334Y5_006797-T1, TFCN17334Y5_005479-T1
GF00003098	TFCN17334Y5_007498-T1, TFCN17334Y5_000781-T1
GF00003099	TFCN17334Y5_004861-T1, TFCN17334Y5_001435-T1
GF00003100	TFCN17334Y5_012708-T1, TFCN17334Y5_011511-T1
GF00003101	TFCN17334Y5_007168-T1, TFCN17334Y5_009295-T1
GF00003102	TFCN17334Y5_011971-T1, TFCN17334Y5_013859-T1
GF00003103	TFCN17334Y5_010245-T1, TFCN17334Y5_010807-T1
GF00003104	TFCN17334Y5_012179-T1, TFCN17334Y5_004176-T1
GF00003105	TFCN17334Y5_006615-T1, TFCN17334Y5_012670-T1
GF00003106	TFCN17334Y5_013189-T1, TFCN17334Y5_005586-T1
GF00003107	TFCN17334Y5_011361-T1, TFCN17334Y5_011191-T1
GF00003108	TFCN17334Y5_006971-T1, TFCN17334Y5_003875-T1
GF00003109	TFCN17334Y5_000922-T1, TFCN17334Y5_008297-T1
GF00003110	TFCN17334Y5_000193-T1, TFCN17334Y5_007403-T1
GF00003111	TFCN17334Y5_008120-T1, TFCN17334Y5_003552-T1
GF00003112	TFCN17334Y5_000339-T1, TFCN17334Y5_000578-T1
GF00003113	TFCN17334Y5_009331-T1, TFCN17334Y5_002712-T1
GF00003114	TFCN17334Y5_010430-T1, TFCN17334Y5_013641-T1
GF00003115	TFCN17334Y5_013401-T1, TFCN17334Y5_000881-T1
GF00003116	TFCN17334Y5_004696-T1, TFCN17334Y5_006024-T1
GF00003117	TFCN17334Y5_000538-T1, TFCN17334Y5_010851-T1
GF00003118	TFCN17334Y5_006434-T1, TFCN17334Y5_010536-T1
GF00003119	TFCN17334Y5_009996-T1, TFCN17334Y5_010367-T1
GF00003120	TFCN17334Y5_014033-T1, TFCN17334Y5_013309-T1
GF00003121	TFCN17334Y5_008598-T1, TFCN17334Y5_008486-T1
GF00003122	TFCN17334Y5_009865-T1, TFCN17334Y5_006260-T1
GF00003123	TFCN17334Y5_007660-T1, TFCN17334Y5_007800-T1
GF00003124	TFCN17334Y5_004584-T1, TFCN17334Y5_012753-T1
GF00003125	TFCN17334Y5_003239-T1, TFCN17334Y5_013677-T1
GF00003126	TFCN17334Y5_012165-T1, TFCN17334Y5_004166-T1
GF00003127	TFCN17334Y5_011936-T1, TFCN17334Y5_008139-T1
GF00003128	TFCN17334Y5_004422-T1, TFCN17334Y5_011438-T1
GF00003129	TFCN17334Y5_006901-T1, TFCN17334Y5_007559-T1
GF00003130	TFCN17334Y5_008098-T1, TFCN17334Y5_002929-T1
GF00003131	TFCN17334Y5_011409-T1, TFCN17334Y5_006713-T1
GF00003132	TFCN17334Y5_003196-T1, TFCN17334Y5_004898-T1
GF00003133	TFCN17334Y5_010564-T1, TFCN17334Y5_006406-T1
GF00003134	TFCN17334Y5_000813-T1, TFCN17334Y5_007467-T1
GF00003135	TFCN17334Y5_001106-T1, TFCN17334Y5_001776-T1
GF00003136	TFCN17334Y5_004413-T1, TFCN17334Y5_011445-T1
GF00003137	TFCN17334Y5_013865-T1, TFCN17334Y5_014379-T1
GF00003138	TFCN17334Y5_003373-T1, TFCN17334Y5_002876-T1
GF00003139	TFCN17334Y5_011135-T1, TFCN17334Y5_005392-T1
GF00003140	TFCN17334Y5_011520-T1, TFCN17334Y5_012717-T1
GF00003141	TFCN17334Y5_012595-T1, TFCN17334Y5_010625-T1
GF00003142	TFCN17334Y5_008531-T1, TFCN17334Y5_004669-T1
GF00003143	TFCN17334Y5_005021-T1, TFCN17334Y5_005244-T1
GF00003144	TFCN17334Y5_005195-T1, TFCN17334Y5_004966-T1
GF00003145	TFCN17334Y5_006295-T1, TFCN17334Y5_005413-T1
GF00003146	TFCN17334Y5_007816-T1, TFCN17334Y5_007644-T1
GF00003147	TFCN17334Y5_004360-T1, TFCN17334Y5_014152-T1
GF00003148	TFCN17334Y5_001558-T1, TFCN17334Y5_011999-T1
GF00003149	TFCN17334Y5_009401-T1, TFCN17334Y5_004533-T1
GF00003150	TFCN17334Y5_011747-T1, TFCN17334Y5_006846-T1
GF00003151	TFCN17334Y5_003432-T1, TFCN17334Y5_001352-T1
GF00003152	TFCN17334Y5_006579-T1, TFCN17334Y5_013038-T1
GF00003153	TFCN17334Y5_005816-T1, TFCN17334Y5_011715-T1
GF00003154	TFCN17334Y5_002943-T1, TFCN17334Y5_013204-T1
GF00003155	TFCN17334Y5_003614-T1, TFCN17334Y5_006374-T1
GF00003156	TFCN17334Y5_007687-T1, TFCN17334Y5_007769-T1
GF00003157	TFCN17334Y5_005653-T1, TFCN17334Y5_003093-T1
GF00003158	TFCN17334Y5_013212-T1, TFCN17334Y5_012404-T1
GF00003159	TFCN17334Y5_000557-T1, TFCN17334Y5_010832-T1
GF00003160	TFCN17334Y5_012657-T1, TFCN17334Y5_006603-T1
GF00003161	TFCN17334Y5_010730-T1, TFCN17334Y5_005699-T1
GF00003162	TFCN17334Y5_010837-T1, TFCN17334Y5_000552-T1
GF00003163	TFCN17334Y5_005523-T1, TFCN17334Y5_007956-T1
GF00003164	TFCN17334Y5_007180-T1, TFCN17334Y5_009284-T1
GF00003165	TFCN17334Y5_009138-T1, TFCN17334Y5_009817-T1
GF00003166	TFCN17334Y5_010603-T1, TFCN17334Y5_003905-T1
GF00003167	TFCN17334Y5_004519-T1, TFCN17334Y5_009236-T1
GF00003168	TFCN17334Y5_014407-T1, TFCN17334Y5_014490-T1
GF00003169	TFCN17334Y5_012496-T1, TFCN17334Y5_008081-T1
GF00003170	TFCN17334Y5_006845-T1, TFCN17334Y5_013411-T1
GF00003171	TFCN17334Y5_010094-T1, TFCN17334Y5_010521-T1
GF00003172	TFCN17334Y5_005516-T1, TFCN17334Y5_007949-T1
GF00003173	TFCN17334Y5_004903-T1, TFCN17334Y5_003190-T1
GF00003174	TFCN17334Y5_013611-T1, TFCN17334Y5_011537-T1
GF00003175	TFCN17334Y5_004408-T1, TFCN17334Y5_011449-T1
GF00003176	TFCN17334Y5_000623-T1, TFCN17334Y5_000293-T1
GF00003177	TFCN17334Y5_010223-T1, TFCN17334Y5_004332-T1
GF00003178	TFCN17334Y5_012331-T1, TFCN17334Y5_009080-T1
GF00003179	TFCN17334Y5_000055-T1, TFCN17334Y5_010905-T1
GF00003180	TFCN17334Y5_000569-T1, TFCN17334Y5_013837-T1
GF00003181	TFCN17334Y5_009866-T1, TFCN17334Y5_006259-T1
GF00003182	TFCN17334Y5_000124-T1, TFCN17334Y5_007204-T1
GF00003183	TFCN17334Y5_013740-T1, TFCN17334Y5_010089-T1
GF00003184	TFCN17334Y5_002374-T1, TFCN17334Y5_014081-T1
GF00003185	TFCN17334Y5_001892-T1, TFCN17334Y5_001213-T1
GF00003186	TFCN17334Y5_006569-T1, TFCN17334Y5_011649-T1
GF00003187	TFCN17334Y5_002101-T1, TFCN17334Y5_001949-T1
GF00003188	TFCN17334Y5_007543-T1, TFCN17334Y5_000733-T1
GF00003189	TFCN17334Y5_004468-T1, TFCN17334Y5_000104-T1
GF00003190	TFCN17334Y5_003637-T1, TFCN17334Y5_011797-T1
GF00003191	TFCN17334Y5_004985-T1, TFCN17334Y5_005212-T1
GF00003192	TFCN17334Y5_001451-T1, TFCN17334Y5_007223-T1
GF00003193	TFCN17334Y5_009449-T1, TFCN17334Y5_013243-T1
GF00003194	TFCN17334Y5_005379-T1, TFCN17334Y5_007873-T1
GF00003195	TFCN17334Y5_004353-T1, TFCN17334Y5_011877-T1
GF00003196	TFCN17334Y5_007890-T1, TFCN17334Y5_005364-T1
GF00003197	TFCN17334Y5_003301-T1, TFCN17334Y5_002803-T1
GF00003198	TFCN17334Y5_001314-T1, TFCN17334Y5_003468-T1
GF00003199	TFCN17334Y5_000298-T1, TFCN17334Y5_000618-T1
GF00003200	TFCN17334Y5_004718-T1, TFCN17334Y5_012950-T1
GF00003201	TFCN17334Y5_005253-T1, TFCN17334Y5_005033-T1
GF00003202	TFCN17334Y5_008178-T1, TFCN17334Y5_011639-T1
GF00003203	TFCN17334Y5_000064-T1, TFCN17334Y5_010896-T1
GF00003204	TFCN17334Y5_007527-T1, TFCN17334Y5_000748-T1
GF00003205	TFCN17334Y5_012144-T1, TFCN17334Y5_008698-T1
GF00003206	TFCN17334Y5_013797-T1, TFCN17334Y5_002454-T1
GF00003207	TFCN17334Y5_001337-T1, TFCN17334Y5_003447-T1
GF00003208	TFCN17334Y5_000980-T1, TFCN17334Y5_011390-T1
GF00003209	TFCN17334Y5_008327-T1, TFCN17334Y5_000951-T1
GF00003210	TFCN17334Y5_004728-T1, TFCN17334Y5_012959-T1
GF00003211	TFCN17334Y5_011476-T1, TFCN17334Y5_011902-T1
GF00003212	TFCN17334Y5_013940-T1, TFCN17334Y5_008130-T1
GF00003213	TFCN17334Y5_001078-T1, TFCN17334Y5_001747-T1
GF00003214	TFCN17334Y5_013161-T1, TFCN17334Y5_007172-T1
GF00003215	TFCN17334Y5_006315-T1, TFCN17334Y5_003557-T1
GF00003216	TFCN17334Y5_013402-T1, TFCN17334Y5_000882-T1
GF00003217	TFCN17334Y5_003685-T1, TFCN17334Y5_010334-T1
GF00003218	TFCN17334Y5_006418-T1, TFCN17334Y5_010553-T1
GF00003219	TFCN17334Y5_006945-T1, TFCN17334Y5_008673-T1
GF00003220	TFCN17334Y5_004625-T1, TFCN17334Y5_013543-T1
GF00003221	TFCN17334Y5_002956-T1, TFCN17334Y5_009745-T1
GF00003222	TFCN17334Y5_001870-T1, TFCN17334Y5_001194-T1
GF00003223	TFCN17334Y5_004459-T1, TFCN17334Y5_000096-T1
GF00003224	TFCN17334Y5_011988-T1, TFCN17334Y5_012077-T1
GF00003225	TFCN17334Y5_014198-T1, TFCN17334Y5_014086-T1
GF00003226	TFCN17334Y5_011881-T1, TFCN17334Y5_004357-T1
GF00003227	TFCN17334Y5_011588-T1, TFCN17334Y5_003047-T1
GF00003228	TFCN17334Y5_008067-T1, TFCN17334Y5_012482-T1
GF00003229	TFCN17334Y5_005487-T1, TFCN17334Y5_006807-T1
GF00003230	TFCN17334Y5_004921-T1, TFCN17334Y5_003174-T1
GF00003231	TFCN17334Y5_004303-T1, TFCN17334Y5_012241-T1
GF00003232	TFCN17334Y5_000352-T1, TFCN17334Y5_011623-T1
GF00003233	TFCN17334Y5_003545-T1, TFCN17334Y5_008113-T1
GF00003234	TFCN17334Y5_003031-T1, TFCN17334Y5_012380-T1
GF00003235	TFCN17334Y5_006041-T1, TFCN17334Y5_012688-T1
GF00003236	TFCN17334Y5_002952-T1, TFCN17334Y5_009740-T1
GF00003237	TFCN17334Y5_004123-T1, TFCN17334Y5_009586-T1
GF00003238	TFCN17334Y5_008385-T1, TFCN17334Y5_012884-T1
GF00003239	TFCN17334Y5_008163-T1, TFCN17334Y5_011961-T1
GF00003240	TFCN17334Y5_009306-T1, TFCN17334Y5_002737-T1
GF00003241	TFCN17334Y5_010102-T1, TFCN17334Y5_010513-T1
GF00003242	TFCN17334Y5_005069-T1, TFCN17334Y5_012313-T1
GF00003243	TFCN17334Y5_012200-T1, TFCN17334Y5_012835-T1
GF00003244	TFCN17334Y5_014035-T1, TFCN17334Y5_013311-T1
GF00003245	TFCN17334Y5_007570-T1, TFCN17334Y5_006889-T1
GF00003246	TFCN17334Y5_012509-T1, TFCN17334Y5_000494-T1
GF00003247	TFCN17334Y5_006557-T1, TFCN17334Y5_011660-T1
GF00003248	TFCN17334Y5_011595-T1, TFCN17334Y5_003039-T1
GF00003249	TFCN17334Y5_004144-T1, TFCN17334Y5_009609-T1
GF00003250	TFCN17334Y5_000209-T1, TFCN17334Y5_007416-T1
GF00003251	TFCN17334Y5_000582-T1, TFCN17334Y5_000335-T1
GF00003252	TFCN17334Y5_013424-T1, TFCN17334Y5_006833-T1
GF00003253	TFCN17334Y5_010401-T1, TFCN17334Y5_013995-T1
GF00003254	TFCN17334Y5_007541-T1, TFCN17334Y5_000735-T1
GF00003255	TFCN17334Y5_000823-T1, TFCN17334Y5_010743-T1
GF00003256	TFCN17334Y5_002817-T1, TFCN17334Y5_003314-T1
GF00003257	TFCN17334Y5_009684-T1, TFCN17334Y5_012731-T1
GF00003258	TFCN17334Y5_008314-T1, TFCN17334Y5_000938-T1
GF00003259	TFCN17334Y5_012055-T1, TFCN17334Y5_007139-T1
GF00003260	TFCN17334Y5_008874-T1, TFCN17334Y5_006117-T1
GF00003261	TFCN17334Y5_000176-T1, TFCN17334Y5_007386-T1
GF00003262	TFCN17334Y5_011737-T1, TFCN17334Y5_006856-T1
GF00003263	TFCN17334Y5_003096-T1, TFCN17334Y5_005650-T1
GF00003264	TFCN17334Y5_012305-T1, TFCN17334Y5_005077-T1
GF00003265	TFCN17334Y5_001012-T1, TFCN17334Y5_001682-T1
GF00003266	TFCN17334Y5_002900-T1, TFCN17334Y5_013598-T1
GF00003267	TFCN17334Y5_009139-T1, TFCN17334Y5_009816-T1
GF00003268	TFCN17334Y5_003147-T1, TFCN17334Y5_005605-T1
GF00003269	TFCN17334Y5_010063-T1, TFCN17334Y5_000025-T1
GF00003270	TFCN17334Y5_001597-T1, TFCN17334Y5_006177-T1
GF00003271	TFCN17334Y5_011868-T1, TFCN17334Y5_004343-T1
GF00003272	TFCN17334Y5_000680-T1, TFCN17334Y5_002300-T1
GF00003273	TFCN17334Y5_002372-T1, TFCN17334Y5_011258-T1
GF00003274	TFCN17334Y5_000931-T1, TFCN17334Y5_008308-T1
GF00003275	TFCN17334Y5_013981-T1, TFCN17334Y5_009188-T1
GF00003276	TFCN17334Y5_006461-T1, TFCN17334Y5_012798-T1
GF00003277	TFCN17334Y5_002744-T1, TFCN17334Y5_009299-T1
GF00003278	TFCN17334Y5_013959-T1, TFCN17334Y5_014143-T1
GF00003279	TFCN17334Y5_008867-T1, TFCN17334Y5_006124-T1
GF00003280	TFCN17334Y5_010375-T1, TFCN17334Y5_010003-T1
GF00003281	TFCN17334Y5_006740-T1, TFCN17334Y5_013708-T1
GF00003282	TFCN17334Y5_004955-T1, TFCN17334Y5_005184-T1
GF00003283	TFCN17334Y5_013062-T1, TFCN17334Y5_006529-T1
GF00003284	TFCN17334Y5_009321-T1, TFCN17334Y5_002723-T1
GF00003285	TFCN17334Y5_005145-T1, TFCN17334Y5_008808-T1
GF00003286	TFCN17334Y5_008156-T1, TFCN17334Y5_011952-T1
GF00003287	TFCN17334Y5_005688-T1, TFCN17334Y5_010739-T1
GF00003288	TFCN17334Y5_013466-T1, TFCN17334Y5_007094-T1
GF00003289	TFCN17334Y5_006430-T1, TFCN17334Y5_010539-T1
GF00003290	TFCN17334Y5_003546-T1, TFCN17334Y5_008114-T1
GF00003291	TFCN17334Y5_007279-T1, TFCN17334Y5_001502-T1
GF00003292	TFCN17334Y5_002866-T1, TFCN17334Y5_003363-T1
GF00003293	TFCN17334Y5_010590-T1, TFCN17334Y5_003919-T1
GF00003294	TFCN17334Y5_003117-T1, TFCN17334Y5_005632-T1
GF00003295	TFCN17334Y5_009348-T1, TFCN17334Y5_002700-T1
GF00003296	TFCN17334Y5_006918-T1, TFCN17334Y5_013879-T1
GF00003297	TFCN17334Y5_012080-T1, TFCN17334Y5_011985-T1
GF00003298	TFCN17334Y5_001199-T1, TFCN17334Y5_001877-T1
GF00003299	TFCN17334Y5_000912-T1, TFCN17334Y5_008287-T1
GF00003300	TFCN17334Y5_012947-T1, TFCN17334Y5_004715-T1
GF00003301	TFCN17334Y5_005466-T1, TFCN17334Y5_006785-T1
GF00003302	TFCN17334Y5_013439-T1, TFCN17334Y5_010304-T1
GF00003303	TFCN17334Y5_006521-T1, TFCN17334Y5_013054-T1
GF00003304	TFCN17334Y5_006738-T1, TFCN17334Y5_013706-T1
GF00003305	TFCN17334Y5_000973-T1, TFCN17334Y5_011383-T1
GF00003306	TFCN17334Y5_005757-T1, TFCN17334Y5_004775-T1
GF00003307	TFCN17334Y5_007909-T1, TFCN17334Y5_004102-T1
GF00003308	TFCN17334Y5_004762-T1, TFCN17334Y5_005744-T1
GF00003309	TFCN17334Y5_009347-T1, TFCN17334Y5_002701-T1
GF00003310	TFCN17334Y5_005047-T1, TFCN17334Y5_005267-T1
GF00003311	TFCN17334Y5_004865-T1, TFCN17334Y5_001440-T1
GF00003312	TFCN17334Y5_000288-T1, TFCN17334Y5_000627-T1
GF00003313	TFCN17334Y5_010497-T1, TFCN17334Y5_010118-T1
GF00003314	TFCN17334Y5_010608-T1, TFCN17334Y5_003899-T1
